country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
seychelles,-0.176802829,4.404109043,5.396744645,11.1988248,6.995544239,2.760425962,7.161465872,6.196650459,-0.798697665,-0.825641026,4.917524174,11.96155742,8.403398336,1.872005198,1.514339738,-2.271163111,1.212832551,-5.887127947,-2.850453855,9.005761179,9.75698118,10.06471193,-2.140515242,-1.107181169,5.945430656,7.915108502,2.805618878,5.275872708
uganda,0.390086946,3.961902787,8.267073544,6.361941247,6.474140151,5.554095496,3.418356891,8.326292521,6.403635743,11.52324381,9.072114582,5.100001864,4.905265483,8.053948377,3.141907338,5.183661126,8.732685764,6.473258672,6.807233344,6.332565116,10.78474439,8.412425965,8.708751901,7.251045316,5.170342974,9.673224959,4.411259872,3.270736613
botswana,8.172924066,11.88192812,19.4499696,13.05940607,6.772822009,7.458708767,2.917070335,1.916107351,3.627915946,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894763,2.705821672,4.556645752,7.959531063,8.682340667,3.90146671,-7.84100187,8.594135564,6.182819889,4.314165732,5.827030816
senegal,3.113339717,6.094374588,-0.592431006,3.977856086,-0.675638146,2.555825428,1.242647235,1.30078041,-0.017328654,5.363472885,2.012125088,3.124033319,5.898672516,6.359843002,3.186639102,4.580916419,0.654803692,6.683228134,5.870772214,5.622606857,2.461570253,4.938485083,3.682524403,2.423175917,4.266247626,2.066645293,3.452902581,2.803807191
mozambique,-2.299996147,14.70000045,8.199995186,6.500004666,0.999992763,4.899999161,-5.104721597,8.654683922,6.765490131,2.700782207,7.399999823,10.23856054,10.78214196,8.117773501,1.090981985,11.89892508,8.816958376,6.023730112,8.770181405,8.672666043,6.321219213,7.28200049,5.775938257,6.477337604,7.116760888,7.43585769,7.078001667,7.444166659
kenya,7.177555391,5.937107446,6.20318382,4.690348768,4.192050974,1.438346791,-0.79949396,0.353197256,2.632784519,4.406216526,4.146839267,0.47490192,3.290213723,2.305388596,0.599695392,3.779906496,0.54685953,2.932475546,5.104299776,5.906666082,6.330632805,6.993285154,0.232282746,3.306939815,8.405699224,6.122050598,4.452270391,5.743139176
madagascar,1.959105768,1.178085519,3.40341701,4.078892777,3.130029428,-6.309534393,1.186152287,2.096559819,-0.071608256,1.712213176,2.148915048,3.693492606,3.932336443,4.6591157,4.760065099,6.017824403,-12.67378814,9.784892131,5.257003604,4.602899965,5.022607002,6.240578451,7.128513539,-4.013860583,0.263110856,1.454392168,3.027536044,2.414297692
equatorial guinea,-2.330556357,4.436737362,2.655262182,-1.229178079,-1.758564084,-1.022238918,34.74532004,11.03321304,16.66883555,17.48626375,66.57999726,149.9729635,23.77448233,25.66401544,18.21377995,63.37987543,19.46283403,13.95525032,37.99872686,16.74870061,-4.811545183,13.13581614,12.26966844,-8.071928976,-1.308484385,4.997797207,3.219445883,-4.840126662
rwanda,5.472137487,-0.02403611,4.498824996,-0.036534277,-2.399291094,-2.514379654,5.872725231,-8.108691867,-50.24806711,35.22407831,12.74569576,13.84975248,8.858669491,7.581096457,8.318704949,8.668954201,13.51052989,1.451335378,6.946390384,6.912001414,9.235269536,7.612853864,11.16246001,6.267988487,7.312669275,7.851934941,8.788351534,4.684512428
swaziland,12.26447799,14.60659016,6.569821564,12.91110443,21.01800022,1.760376356,3.226207342,3.106113506,2.40069125,4.825651668,3.842053737,3.102805305,2.604039665,2.950874865,1.760173901,1.157877823,1.777204687,2.240094011,2.906684386,2.46332929,3.302561657,3.503652042,2.373518542,1.250350107,1.866157058,-0.664264372,1.926004901,2.784760332
